"Step","_name_or_path: bert-large-uncased - eval/P_err","_name_or_path: bert-large-uncased - eval/P_err__MIN","_name_or_path: bert-large-uncased - eval/P_err__MAX","_name_or_path: bert-base-cased - eval/P_err","_name_or_path: bert-base-cased - eval/P_err__MIN","_name_or_path: bert-base-cased - eval/P_err__MAX","_name_or_path: prajjwal1/bert-medium - eval/P_err","_name_or_path: prajjwal1/bert-medium - eval/P_err__MIN","_name_or_path: prajjwal1/bert-medium - eval/P_err__MAX","_name_or_path: prajjwal1/bert-mini - eval/P_err","_name_or_path: prajjwal1/bert-mini - eval/P_err__MIN","_name_or_path: prajjwal1/bert-mini - eval/P_err__MAX","_name_or_path: prajjwal1/bert-tiny - eval/P_err","_name_or_path: prajjwal1/bert-tiny - eval/P_err__MIN","_name_or_path: prajjwal1/bert-tiny - eval/P_err__MAX"
"2","0.8195897647542127","0.8179573804573804","0.8225051975051976","0.8294984993957362","0.8195288753799392","0.8335866261398176","0.8113423781591361","0.8062629937629937","0.8153586278586279","0.8336346760289596","0.8295218295218295","0.8400467775467775","0.8707543939337203","0.8668139293139293","0.877079002079002"
"3","0.8195897647542127","0.8179573804573804","0.8225051975051976","0.8294984993957362","0.8195288753799392","0.8335866261398176","0.8113423781591361","0.8062629937629937","0.8153586278586279","0.8336346760289596","0.8295218295218295","0.8400467775467775","0.8707543939337203","0.8668139293139293","0.877079002079002"
"6","0.8084528189433664","0.805937256935442","0.8151413015296862","0.8234545127478878","0.8156019343344363","0.8278187834054467","0.8046730700046025","0.7984496124031008","0.8085299455535391","0.832879529365869","0.8268295887531205","0.8361420793362717","0.8708657253343626","0.8669031664695834","0.8763287529167747"
"7","0.8084528189433664","0.805937256935442","0.8151413015296862","0.8234545127478878","0.8156019343344363","0.8278187834054467","0.8046730700046025","0.7984496124031008","0.8085299455535391","0.832879529365869","0.8268295887531205","0.8361420793362717","0.8708657253343626","0.8669031664695834","0.8763287529167747"
"10","0.8001314909444648","0.7969100752673973","0.8029350104821803","0.8061519541313737","0.8001796714579056","0.8106622347225774","0.7997787745053666","0.7891192394031428","0.8096174004192872","0.8287655326035532","0.8253004093490031","0.8321540880503144","0.8695058073465786","0.8639937106918238","0.8738207547169812"
"11","0.8001314909444648","0.7969100752673973","0.8029350104821803","0.8061519541313737","0.8001796714579056","0.8106622347225774","0.7997787745053666","0.7891192394031428","0.8096174004192872","0.8287655326035532","0.8253004093490031","0.8321540880503144","0.8695058073465786","0.8639937106918238","0.8738207547169812"
"14","0.794116101504432","0.7899802241265657","0.8012366353213963","0.8082088911686798","0.8016424510423247","0.8166603749842708","0.7992611233025582","0.7939353988134477","0.8030400618317661","0.8302436103311424","0.8253131179960448","0.832667783073554","0.8689225184692427","0.8664469347396176","0.8715702692258147"
"15","0.794116101504432","0.7899802241265657","0.8012366353213963","0.8082088911686798","0.8016424510423247","0.8166603749842708","0.7992611233025582","0.7939353988134477","0.8030400618317661","0.8302436103311424","0.8253131179960448","0.832667783073554","0.8689225184692427","0.8664469347396176","0.8715702692258147"
"18","0.783116360823409","0.7747252747252747","0.7899005756148614","0.7956651179084607","0.7901854714064915","0.8014837554361729","0.7855220180290962","0.7799581371009943","0.7910779696493982","0.824950712260633","0.8197278911564626","0.8299319727891157","0.866028273253631","0.8600209314495029","0.8738880167451596"
"19","0.783116360823409","0.7747252747252747","0.7899005756148614","0.7956651179084607","0.7901854714064915","0.8014837554361729","0.7855220180290962","0.7799581371009943","0.7910779696493982","0.824950712260633","0.8197278911564626","0.8299319727891157","0.866028273253631","0.8600209314495029","0.8738880167451596"
