"Step","_name_or_path: prajjwal1/bert-medium - eval/P_err","_name_or_path: prajjwal1/bert-medium - eval/P_err__MIN","_name_or_path: prajjwal1/bert-medium - eval/P_err__MAX","_name_or_path: prajjwal1/bert-mini - eval/P_err","_name_or_path: prajjwal1/bert-mini - eval/P_err__MIN","_name_or_path: prajjwal1/bert-mini - eval/P_err__MAX","_name_or_path: bert-base-cased - eval/P_err","_name_or_path: bert-base-cased - eval/P_err__MIN","_name_or_path: bert-base-cased - eval/P_err__MAX","_name_or_path: prajjwal1/bert-tiny - eval/P_err","_name_or_path: prajjwal1/bert-tiny - eval/P_err__MIN","_name_or_path: prajjwal1/bert-tiny - eval/P_err__MAX"
"2","0.9042643816219774","0.9014825442372071","0.9086561453849833","0.9015711558609973","0.8890483022477284","0.9076996652319465","0.9140186915887849","0.9046728971962616","0.9285046728971963","0.9149564834366861","0.9102501226091221","0.9206121472979436"
"3","0.9042643816219774","0.9014825442372071","0.9086561453849833","0.9015711558609973","0.8890483022477284","0.9076996652319465","0.9140186915887849","0.9046728971962616","0.9285046728971963","0.9149564834366861","0.9102501226091221","0.9206121472979436"
"6","0.8978827317786452","0.889890840056953","0.9077669902912622","0.9005855193737011","0.8975728155339806","0.9055529188419554","0.9151092515109251","0.9107391910739191","0.9181775918177592","0.9161790333654348","0.9111650485436893","0.9197911722828667"
"7","0.8978827317786452","0.889890840056953","0.9077669902912622","0.9005855193737011","0.8975728155339806","0.9055529188419554","0.9151092515109251","0.9107391910739191","0.9181775918177592","0.9161790333654348","0.9111650485436893","0.9197911722828667"
"10","0.8873766791972543","0.8747022391615055","0.8951881848499286","0.9023071813828623","0.8870890900428776","0.9132920438303954","0.908263695450325","0.9020427112349118","0.9117920148560817","0.911596600860797","0.8999523582658409","0.9175797999047165"
"11","0.8873766791972543","0.8747022391615055","0.8951881848499286","0.9023071813828623","0.8870890900428776","0.9132920438303954","0.908263695450325","0.9020427112349118","0.9117920148560817","0.911596600860797","0.8999523582658409","0.9175797999047165"
"14","0.8801010474821614","0.8695028680688337","0.887189292543021","0.8842713198723807","0.8747609942638623","0.8910068426197458","0.8964169381107492","0.8911121451838064","0.903210795718939","0.909890678823017","0.8996175908221797","0.9220841300191205"
"15","0.8801010474821614","0.8695028680688337","0.887189292543021","0.8842713198723807","0.8747609942638623","0.8910068426197458","0.8964169381107492","0.8911121451838064","0.903210795718939","0.909890678823017","0.8996175908221797","0.9220841300191205"
"18","0.8840608314574975","0.8656575212866604","0.8970443349753695","0.884145760610707","0.8765373699148533","0.8916256157635468","0.8923004694835679","0.884037558685446","0.8995305164319249","0.9084578997161777","0.9019704433497537","0.9123152709359605"
"19","0.8840608314574975","0.8656575212866604","0.8970443349753695","0.884145760610707","0.8765373699148533","0.8916256157635468","0.8923004694835679","0.884037558685446","0.8995305164319249","0.9084578997161777","0.9019704433497537","0.9123152709359605"
